Address,City,State,Zip,Date_Incident,Jurisdiction,Incident_Tract,Zone,UCR_Incident_Code,Incident_Description,Incident_Type,Case_Number,Case_Status,Case_Status_Description,Latitude,Longitude,Location,citydst
1900 Preswood Dr,Chattanooga,TN,37343,07/13/2018 04:00:00 PM,TN0330100,A2,Adam N,220,Burglary/Breaking And Entering,Part 1 Crimes,18-066489,3,Pending/Possible Leads,35.12286700000001,-85.20399699999999,POINT (-85.203997 35.122867),3
1800 E 23rd St,Chattanooga,TN,37404,07/13/2018 03:55:00 PM,TN0330100,B6,Baker S,23H,All Other Larceny,Part 1 Crimes,18-066142,3,Pending/Possible Leads,35.021242,-85.28536199999999,POINT (-85.285362 35.021242),8
4300 Rossville Blvd,Chattanooga,TN,37407,07/13/2018 03:50:00 PM,TN0330100,B9,Baker S,23F,Theft From Motor Vehicle,Part 1 Crimes,18-067057,3,Pending/Possible Leads,34.992751,-85.29089,POINT (-85.29089 34.992751),7
2700 Citico Ave,Chattanooga,TN,37406,07/13/2018 02:45:00 PM,TN0330100,B3,Baker N,23H,All Other Larceny,Part 1 Crimes,18-067023,3,Pending/Possible Leads,35.041005999999996,-85.255632,POINT (-85.255632 35.041006),9
5000 Hunter Rd,Chattanooga,TN,37363,07/13/2018 02:30:00 PM,TN0330100,C9,Charlie N,23D,Theft From Buildings,Part 1 Crimes,18-066106,3,Pending/Possible Leads,35.088684,-85.072595,POINT (-85.072595 35.088684),6
700 Signal Mountain Rd,Chattanooga,TN,37405,07/13/2018 02:00:00 PM,TN0330100,A5,Adam N,240,Motor Vehicle Theft,Part 1 Crimes,18-066277,4,Inactive/Suspended,35.098703,-85.328718,POINT (-85.328718 35.098703),1
2100 Gunbarrel Rd,Chattanooga,TN,37421,07/13/2018 02:00:00 PM,TN0330100,C7,Charlie N,23F,Theft From Motor Vehicle,Part 1 Crimes,18-066247,3,Pending/Possible Leads,35.034427,-85.14985700000001,POINT (-85.149857 35.034427),4
7300 Cleveland Pike,Chattanooga,TN,37421,07/13/2018 02:00:00 PM,TN0330100,C9,Charlie N,23G,Theft Of Motor Vehicle Parts Or Accessories,Part 1 Crimes,18-067188,3,Pending/Possible Leads,35.064066000000004,-85.139138,POINT (-85.139138 35.064066),6
1700 Chamberlain Ave,Chattanooga,TN,37404,07/13/2018 01:40:00 PM,TN0330100,B5,Baker S,23H,All Other Larceny,Part 1 Crimes,18-066100,2,Cleared by Arrest,35.035074,-85.277028,POINT (-85.277028 35.035074),9
100 Northgate Mall Dr,Chattanooga,TN,37415,07/13/2018 01:00:00 PM,TN0330100,A2,Adam N,23C,Shoplifting,Part 1 Crimes,18-066085,2,Cleared by Arrest,35.131214,-85.239091,POINT (-85.239091 35.131214),3
6200 Lee Hwy,Chattanooga,TN,37421,07/13/2018 11:34:00 AM,TN0330100,C4,Charlie S,23H,All Other Larceny,Part 1 Crimes,18-066054,2,Cleared by Arrest,35.031149000000006,-85.183516,POINT (-85.183516 35.031149),6
